id,Coordx,Coordy
4,-103.3806142,20.6467019
9,-103.4563948,20.7135301
15,-103.3573826,20.6594091
16,-103.290369,20.6628693
19,-103.3038164,20.6699891
20,-103.3809342,20.6467496
21,-103.3704142,20.6587118
22,-103.4511778,20.6507871
30,-103.3690286,20.6359011
37,-103.3258091,20.653198
42,-103.2810756,20.5620818
50,"-103.360278,",20.7025379
55,-103.3564262,20.7322654
105,-103.4537768,20.7310821
108,-103.2434868,20.6267774
112,-103.3005748,20.6967754
113,-103.3259251,20.6352592
115,-103.2914086,20.6847856
116,-103.3341595,20.6663525
121,-103.3370365,20.7255023
126,-103.3654329,20.6971178
127,-103.4370352,20.6313189
134,-103.3938532,20.697506
137,-103.352115,20.641932
139,-103.3023406,20.6754402
141,-103.3440653,20.6171187
142,-103.5020212,20.480781
143,-103.265658,20.588703
147,-103.441173,20.758569
148,-103.2678632,20.475415
149,"-103.355071,",20.6965182
150,-103.4382889,20.5969362
151,-103.337167,20.605056
153,-103.387444,20.740139
155,-103.2976608,20.66650772
156,-103.3486085,20.7044818
157,-103.2612381,20.64753342
158,-103.3186646,20.68159103
161,-103.3495865,20.67280388
162,-103.38327,20.588083
163,-103.323494,20.70370674
164,-103.4069672,20.62952423
165,-103.3330307,20.66524506
166,-103.3098602,20.69374847
169,-103.409173,20.641287
170,-103.2776489,20.65996361
171,-103.3652344,20.56864738
172,-103.4608459,20.6276989
173,-103.3068771,20.66896629
174,-103.4228973,20.67248344
177,-103.455246,20.62933159
178,-103.3045502,20.65958405
179,-103.3596115,20.70246506
180,-103.3671112,20.68489265
181,-103.2481308,20.61882591
182,-103.3335648,20.67231369
183,-103.3551712,20.63059998
185,-103.3472404,20.67379631
186,-103.3538208,20.71927261
187,-103.3455963,20.7185955
188,-103.3453754,20.7180709
189,-103.2482681,20.6793499
190,-103.43288,20.64132
192,-103.566876,20.728692
193,-103.3411927,20.72685653
194,-103.4476471,20.65880966
195,-103.3325653,20.70240402
196,-103.4502945,20.66607857
197,-103.3510361,20.65722656
199,-103.4020532,20.7280023
200,-103.3240051,20.68318367
201,-103.4009552,20.72800255
202,-103.3506775,20.67277908
203,-103.4312592,20.66270447
204,-103.3345337,20.68212128
205,-103.2318268,20.67612076
206,-103.4401398,20.71002579
207,-103.28508,20.59001541
208,-103.3246307,20.66426086
209,-103.3034515,20.67591286
210,-103.3642807,20.6716938
211,-103.246964,20.622379
212,-103.3870952,20.629382
213,-103.3055209,20.6647719
214,-103.3332825,20.69872475
216,-103.4003983,20.64975357
217,-103.3593521,20.67811584
218,-103.3524475,20.62159348
219,-103.3636246,20.68687439
221,-103.3296814,20.59473038
222,-103.33219,20.584494
223,-103.3669128,20.65041733
225,-103.4269791,20.6882019
226,-103.3462524,20.67051315
227,-103.3377228,20.60628128
228,-103.437355,20.62371635
229,-103.299444,20.645389
230,-103.3602142,20.62887383
231,-103.3347092,20.5988884
233,-103.2810059,20.66423607
234,-103.324501,20.72299576
235,-103.3771744,20.62438393
236,-103.3211517,20.64693451
237,-103.4591241,20.7130126
238,-103.44742,20.744482
239,-103.447796,20.743657
240,-103.3679256,20.6322395
241,-103.4194641,20.74332237
242,-103.3091125,20.67419624
243,-103.429312,20.632024
244,-103.3660431,20.66988182
245,-103.3097687,20.66640663
246,-103.3650818,20.67610359
247,-103.4227066,20.62129593
248,-103.3880005,20.67326546
249,-103.2624435,20.62907028
250,-103.3903656,20.6795063
251,-103.4233398,20.73429108
252,-103.4609528,20.64211464
253,-103.3165891,20.5752694
254,-103.4550041,20.4812712
256,-103.2743988,20.59361649
257,-103.3098602,20.69374847
259,-103.355835,20.7422657
260,-103.3883057,20.70973778
261,-103.3990402,20.65082169
262,-103.3829041,20.64947891
264,-103.4273029,20.8532469
265,-103.3557587,20.5727787
266,-103.3529205,20.69418526
268,-103.3806458,20.67948723
269,-103.3786087,20.6893158
270,-103.4524002,20.69915962
271,-103.2773438,20.66048241
272,-103.3153687,20.60870171
275,-103.3810043,20.63205147
276,-103.308075,20.68908691
277,-103.3076477,20.64195442
279,-103.2994919,20.69570923
280,-103.3607635,20.69334221
281,-103.435379,20.68173027
282,-103.3163376,20.64968109
283,-103.3406601,20.60936356
284,-103.3761826,20.70283127
286,-103.306104,20.648629
287,-103.4061661,20.64614868
288,-103.3175583,20.65563393
289,-103.415329,20.6918354
291,-103.3400989,20.6502276
292,-103.3474503,20.7035923
293,-103.454044,20.555522
294,-103.3637161,20.66218758
295,-103.3676758,20.63219261
296,-103.3550186,20.69934464
297,-103.4526291,20.766819
298,-103.2768707,20.60447884
299,-103.3593597,20.67034149
300,-103.4413452,20.63021851
301,-103.4189529,20.72478676
302,-103.3607539,20.6624771
303,-103.4107437,20.62729073
304,-103.3983994,20.74594116
305,-103.2864914,20.59971619
306,-103.3238373,20.62727165
307,-103.4526987,20.6694789
308,-103.2943344,20.68035126
309,-103.3726425,20.65613747
310,-103.3177338,20.66382599
311,-103.4513092,20.61774635
312,-103.2727509,20.68844986
313,-103.4577179,20.6486187
314,-103.3846817,20.64454651
315,-103.3538208,20.71927261
316,-103.2918445,20.6629847
317,-103.3329926,20.58906174
320,-103.3516464,20.67141151
321,-103.3720627,20.66534805
322,-103.3625031,20.7337513
323,-103.2760468,20.66856384
324,-103.2522442,20.525013
325,-103.3538818,20.74462128
326,-103.3008041,20.65535164
327,-103.2455292,20.62725067
328,-103.2893448,20.66417122
329,-103.4312286,20.66966248
330,-103.3763046,20.62420273
331,-103.3404083,20.68199539
332,-103.4270401,20.67337036
333,-103.3428639,20.6683444
334,-103.283783,20.68387604
335,-103.2786789,20.6529026
336,-103.2557449,20.62694168
337,-103.3153229,20.67378426
338,-103.3637009,20.68483162
339,-103.2420289,20.4957771
340,-103.3327103,20.66248512
342,-103.2699814,20.64919472
343,-103.3395462,20.63952637
344,-103.3740311,20.71342659
345,-103.3013819,20.6553983
346,-103.3259577,20.59567
348,-103.4337769,20.62541962
349,-103.371582,20.67136574
351,-103.4629211,20.78166962
352,-103.3560257,20.65926743
353,-103.4306183,20.67278481
354,-103.4488678,20.62972832
355,-103.3322449,20.58480263
356,-103.3234863,20.68539238
357,-103.3575401,20.676123
358,-103.3434219,20.65293121
359,-103.3137223,20.6578202
360,-103.4349672,20.6166622
361,-103.4383767,20.7635297
363,-103.3004074,20.69367981
364,-103.368103,20.7357235
